ID,Item,Definition,Instrument
67,Approval quorum,Number of voters (percentage) who have to approve the referendum for it to pass,Proactive initiative
68,Territorial approval threshold,"The turnout or the approval quorum is linked to a number of territorial units, so for a referendum to be valid and sucessful a number of territorial units must be represented by the voters",Proactive initiative
69,Who is responsible for certifying/validating the referendum result?,Who establishes the final results of the referendum after the counting of the votes? This question refers to the state body that makes the official decision on the results.,Proactive initiative
70,How many proactive citizens’ initiatives have been launched since 1990?,How many proactive citizens' initiatives have been started since 1990?,Proactive initiative
71,How many proactive citizens’ initiatives have been declared formally or substantively inadmissible since 1990?,How many proactive citizens' initiatives have failed because a state organ found that they were not compatible with the formal or substantive limits?,Proactive initiative
72,Does this type of referendum exist at the subnational level?,"Whether the instrument has a local or regional version, when the vote also takes place at local level",Proactive initiative
1,Can subnational entities initiate a referendum at the national level?,"A referendum (i.e. a popular vote) that can be initiated by (a certain number of) subnational entities (regions, provinces, cantons; municipalities))",Subnational-initiated
2,Is there an explicit legal basis for this type of referendum?,"Whether there is a clear legislative basis for the instrument or it has only evolved in the practice (judicial pratice, etc.).",Subnational-initiated
3,Under what conditions can the referendum be initiated? (number and type of subnational units),The specific subnational actors who can initiate a referendum,Subnational-initiated
4,Is there a formal admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the formal limits (clarity of the question, unity of substance, unity of form, draft legal text etc.).",Subnational-initiated
5,Who decides about the formal admissibility?,Which state institution registers the initiative?,Subnational-initiated
6,Is there a legal remedy against the decision on formal admissibility?,"Appeal to a higher administrative, judicial or other state organ against the decision on admissibility/registration",Subnational-initiated
7,Who decides about the claim for remedy in the formal admissibility procedure?,Which state institution carries out the appeal procedure,Subnational-initiated
8,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the formal admissibility decision (e.g. only the initiators, any citizens, certain state actors etc.)",Subnational-initiated
9,Is formal admissibility decided in a special procedure?,"Whether the procedure for registration/admission has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the state organ concerned? Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Subnational-initiated
10,Do participants have a right to be heard in the formal admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Subnational-initiated
11,Is there an evidentary procedure in the formal admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Subnational-initiated
12,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the formal limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Subnational-initiated
13,Is invalidity the legal consequence of inadmissibility?,"At the end of the formal admissibility procedure, does the state organ invalidate (i.e. annul) the referendum or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Subnational-initiated
14,Is there a substantive admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the substantive limits (not on a prohibited topic, compliance with the constitution etc.).",Subnational-initiated
15,Who decides about the substantive admissibility?,Which state institution checks whether the initiative complies with the substantive limits?,Subnational-initiated
16,Is there a legal remedy against the decision on substantive admissibility?,"Appeal to a higher administrative, judicial or state organ",Subnational-initiated
17,Who decides about the claim for remedy in the substantive admissibility procedure?,Which state institution carries out the appeal procedure,Subnational-initiated
18,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the substantive admissibility decision (e.g. only initiators, any citizens, certain state actors etc.)",Subnational-initiated
19,Is substantive admissibility decided in a special procedure?,"Whether the procedure for checking the substantive admissibility has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the respective state organ. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Subnational-initiated
20,Do participants have a right to be heard in the substantive admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Subnational-initiated
21,Is there an evidentary procedure in the substantive admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Subnational-initiated
22,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the substantive limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Subnational-initiated
23,Is invalidity the legal consequence of inadmissibility?,"At the end of the substantive admissibility procedure, does the state organ invalidate (i.e. annul) the referendum or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Subnational-initiated
24,Does the proposal have to be submitted as a (draft) legal text?,Do the initiators have to create a draft of the proposed provision or legal act or is it enough to propose a question?,Subnational-initiated
25,Are there any formal limits on the wording of the referendum proposal?,"Whether there are legal restrictions on how the referendum question or issue has to be formulated (e.g. it has to be clear, it has to be a single question, etc.)",Subnational-initiated
26,Is there a clarity of the question requirement?,"Whether there is a legal provision that the referendum question or issue has to be formulated precisely, in a clear, non-misleading manner",Subnational-initiated
27,Is there a unity of form requirement?,Whether there is a legal provision that the referendum question or issue shall not combine a general and a specifically-worded proposal,Subnational-initiated
28,Is there a unity of substance requirement?,Whether there is a legal provision that the different parts of referendum question or issue shall have an internal connection,Subnational-initiated
29,"Are there any other formal limits? (if Yes, describe in Comments box)",Whether there are any other requirements about the formulation of the referendum question or issue,Subnational-initiated
30,(if rejective) Are certain types of legal acts excluded from being the subject of it?,"Whether a referendum could be held on any legal act (including the constitution, legislative acts, administrative decrees, other measure having the force of law) or is it limited to certain types.  This question is strictly about the types of legal acts, not the issues that can or cannot be the subject of the referendum",Subnational-initiated
31,(if rejective) Are constitutional amendments excluded from being the subject of it?,Whether a referendum could only be held about legal acts that are below the constitution in the hierarchy of norms,Subnational-initiated
32,(if rejective) Are the legal provisions challenged before or after their entry into force?,Is the subject of the popular vote the proposal for a provision or a legal act (before entry into force) or the already adopted and promulgated act (after entry into force)?,Subnational-initiated
33,Can any kind of issue be the subject of a referendum (not counting explicitly prohibited issues)?,"What is the positive scope of referendums/initiatives: which topics can be the subject of a referendum/initiative? This is a question about how the general scope of referendums is defined, without taking into account the explicit topical restrictions.",Subnational-initiated
34,Can only issues of special importance be the subjects of referendums?,Is the positive scope of referendums limited to questions that are deemed important?,Subnational-initiated
35,Can only certain enumerated issues be the subjects of referendums?,"In this case not any question can be the subject of a referendum, only those topics that are listed in the relevant legal act",Subnational-initiated
36,Are there any prohibited issues?,"Are there substantive limits on initiatives and referendums, i.e. certain topics that cannot be the subject of a referendum?",Subnational-initiated
37,Are referendums on constitutional amendments prohibited?,"This question refers to a general ban on proposing constitutional changes. If only certain constitutional provisions are excluded from referendums, those provisions/topics should be indicated specifically in the next questions.",Subnational-initiated
38,Are referendums related to international law obligations prohibited?,"This question refers to the signing or ratification of international treaties, association with other states and participation in international organisations",Subnational-initiated
39,Are referendums related to fundamental rights and freedoms prohibited?,Including both the restriction and the expansion of fundamental rights,Subnational-initiated
40,Are referendums on state structure or form of government prohibited?,"This question refers to a ban on changing such fundamental features of the constitutional system as for example parliamentary democracy, separation of powers, etc.",Subnational-initiated
41,Are referendums on state symbols prohibited?,"Including state flag, national anthem, etc.",Subnational-initiated
42,Are referendums on the official language prohibited?,This question refers to a ban on changing the official language,Subnational-initiated
43,Are referendums on territorial issues or territorial integrity prohibited?,Including any question about state territory,Subnational-initiated
44,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.,Subnational-initiated
45,"Are referendums issues related to national security (military, police, secret services) prohibited?",This question refers to a ban on referendums about the organisation and the rules of the internal security of the state,Subnational-initiated
46,"Are referendums on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures,Subnational-initiated
47,Are referendums on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free,Subnational-initiated
48,Are referendums on naturalisation issues prohibited?,This question refers to questions about citizenship,Subnational-initiated
49,Are referendums on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country,Subnational-initiated
50,Are referendums on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum,Subnational-initiated
51,Are referendums on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having a referendum about single appointments or laws on state personnel,Subnational-initiated
52,Are referendums on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences,Subnational-initiated
53,Are referendums on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences,Subnational-initiated
54,"Are referendums on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary,Subnational-initiated
55,Are referendums on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments",Subnational-initiated
56,"Are there any other prohibited issues? (if Yes, describe in Comments box)","If there are any other prohibited topics, please indicate those in the comments section",Subnational-initiated
57,Is it mandatory to call the referendum?,"In case all the requirements are fulfilled (e.g. it complies with the limits) is it mandatory to authorise the referendum or does the institution that calls the referendum has some leeway, some margin of discretion",Subnational-initiated
58,Is the referendum result binding?,"Whether the successful referendum leads to an automatic change of the law or forces the legislature to adopt a law, or is it only advisory and the legislature decides if it wants to give effect to the referendum result",Subnational-initiated
59,Turnout quorum,Number (percentage) of participants in the popular vote required for the vote to be valid,Subnational-initiated
60,Approval quorum,Number of voters (percentage) who have to approve the referendum for it to pass,Subnational-initiated
61,Territorial approval threshold,"The turnout or the approval quorum is linked to a number of territorial units, so for a referendum to be valid and sucessful a number of territorial units must be represented by the voters",Subnational-initiated
62,Who is responsible for certifying/validating the referendum result?,Who establishes the final results of the referendum after the counting of the votes? This question refers to the state body that makes the official decision on the results.,Subnational-initiated
63,Does this type of referendum exist at the subnational level?,"Whether the instrument has a local or regional version, when the vote also takes place at local level",Subnational-initiated
